ИНН;КПП;Название организации;Имя файла;Номер документа;Дата документа;Всего;Валюта;НДС;НДС 10%;НДС 18%;НДС 20%;Дата доставки;Статус документа;Дата тарификации;Дата изменения статуса;Подразделение;ФИО ответственного;Комментарий;Ссылка;Удален
5401359124;425301001;"ООО ""Гринлайт""";УПД №221212/39/0718 от 12.12.22;221212/39/0718;12.12.2022;2 687,58;RUB - Российский рубль;447,93;0;0;447,93;12.12.2022 18:13;Требуется подпись;;12.12.2022 14:24;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=5a96b517-b58d-4724-b808-3bc5cd5a4645&documentId=ff7d5106-0089-4867-82e9-2fcb82c3044d;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221212/18/0001 от 12.12.22;221212/18/0001;12.12.2022;317,5;RUB - Российский рубль;52,92;0;0;52,92;12.12.2022 8:22;Требуется подпись;;12.12.2022 4:26;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=1eb3f297-577a-43c7-a37e-228d93d3b1bc&documentId=9176d330-6dfb-4464-a629-5f69a9f96ee1;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221214/78/0194 от 14.12.22;221214/78/0194;14.12.2022;767,5;RUB - Российский рубль;127,92;0;0;127,92;14.12.2022 21:23;Требуется подпись;;14.12.2022 17:25;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=e0cfacf3-f049-45fc-92cb-73f5bdffced9&documentId=6d6964e5-e2f8-4447-8eb8-f3c2dd5c8210;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221214/74/0171 от 14.12.22;221214/74/0171;14.12.2022;1 349,40;RUB - Российский рубль;224,9;0;0;224,9;14.12.2022 18:59;Требуется подпись;;14.12.2022 14:59;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=52276951-e2f2-488f-9fca-d141473ee538&documentId=0e29cca9-8930-4edb-bd4d-0c12494d0d2c;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221214/98/0007 от 14.12.22;221214/98/0007;14.12.2022;3 519,60;RUB - Российский рубль;586,6;0;0;586,6;14.12.2022 11:17;Требуется подпись;;14.12.2022 7:17;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=083e7a8e-82f6-4254-92e1-51cb7606828e&documentId=f713cb73-c8af-4464-802d-5cb7e525129b;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221215/39/0683 от 15.12.22;221215/39/0683;15.12.2022;1 605,50;RUB - Российский рубль;267,58;0;0;267,58;15.12.2022 16:58;Требуется подпись;;15.12.2022 12:58;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=42f3180c-5ef6-44f7-b1a7-84aafeeb7fd0&documentId=bc67d0ce-350d-4d2b-bfdb-0cadfe06b615;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221215/18/0001 от 15.12.22;221215/18/0001;15.12.2022;2 697,89;RUB - Российский рубль;449,65;0;0;449,65;15.12.2022 8:10;Требуется подпись;;15.12.2022 4:45;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=a557fc01-c9cc-4058-9b1b-4a82a33149dc&documentId=b123b6eb-6105-4f96-8e16-9a0660b6a7f4;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221216/30/0528 от 16.12.22;221216/30/0528;16.12.2022;4 236,50;RUB - Российский рубль;706,08;0;0;706,08;16.12.2022 15:04;Требуется подпись;;16.12.2022 11:17;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=4e6c7334-5948-4789-8c47-e7a526ae13b9&documentId=04b619d6-23ec-432d-a188-e6553069a403;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221216/39/1236 от 16.12.22;221216/39/1236;16.12.2022;725,91;RUB - Российский рубль;120,99;0;0;120,99;16.12.2022 19:21;Требуется подпись;;19.02.2023 9:16;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=5d97c89e-8522-4b31-8e38-9b831efdb711&documentId=c9eb5d00-db37-445d-8df3-162cb9da22f3;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221216/39/0907 от 16.12.22;221216/39/0907;16.12.2022;5 045,22;RUB - Российский рубль;840,87;0;0;840,87;16.12.2022 18:21;Требуется подпись;;16.12.2022 14:25;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=78a67b32-7af1-406b-87c7-24a71e65b0d6&documentId=a290d788-b139-44e5-94d6-e4b579718fdd;
